latitude,longitude,postal_code,fsa
43.65018,-79.36801,M5A 0B1,M5A 
43.680859999999996,-79.30945,M4E 1X8,M4E 
43.656490000000005,-79.3715,M5A 4M1,M5A 
43.669540000000005,-79.38699,M4W 1A9,M4W 
43.653940000000006,-79.44922,M6R 1X3,M6R 
43.66237,-79.41412,M6G 2T8,M6G 
43.77563,-79.34923,M2J 5C5,M2J 
43.67687,-79.38436,M4W 1T5,M4W 
43.666000000000004,-79.46477,M6P 5A2,M6P 
43.64503,-79.45254,M6R 2V5,M6R 
43.665279999999996,-79.47276,M6P 2A1,M6P 
43.66455,-79.38533000000001,M4Y 3B2,M4Y 
43.674209999999995,-79.3418,M4J 1C4,M4J 
43.68249,-79.4046,M4V 2T2,M4V 
43.641420000000004,-79.43952,M6R 2C4,M6R 
43.64633,-79.39260999999999,M5V 3P7,M5V 
43.66744,-79.42984,M6G 3V7,M6G 
43.65217,-79.43590999999999,M6H 3N5,M6H 
43.65696,-79.42003000000001,M6G 1H7,M6G 
43.68885,-79.37839,M4T 1J2,M4T 
43.68141,-79.3353,M4J 1P1,M4J 
43.66101,-79.36323,M5A 2B7,M5A 
43.67685,-79.34624000000001,M4K 1L5,M4K 
43.654740000000004,-79.42532,M6H 2N9,M6H 
43.65132,-79.43274,M6H 1B5,M6H 
43.66336,-79.34374,M4M 2N2,M4M 
43.644220000000004,-79.47561,M6S 1J3,M6S 
43.66299,-79.41230999999999,M6G 2P3,M6G 
43.685359999999996,-79.40745,M4V 2T3,M4V 
43.68911,-79.41412,M5P 1R6,M5P 
43.78025,-79.32878000000001,M2J 3Z7,M2J 
43.7797,-79.32882,M2J 3Z7,M2J 
43.63711,-79.39728000000001,M5V 2V9,M5V 
43.653009999999995,-79.37899,M5B 1T8,M5B 
43.65188,-79.4324,M6H 1B5,M6H 
43.65806,-79.42713,M6H 2S9,M6H 
43.78345,-79.44525,M2R 1Z1,M2R 
43.637170000000005,-79.39801,M5V 2V9,M5V 
43.6381,-79.41828000000001,M6K 3E7,M6K 
43.68016,-79.42653,M6G 2K7,M6G 
43.66838,-79.31300999999999,M4L 3E3,M4L 
43.68241,-79.3525,M4K 1X7,M4K 
43.80025,-79.33514,M2H 2W6,M2H 
43.66342,-79.42836,M6H 2T8,M6H 
43.65043,-79.39693,M5V 3E7,M5V 
43.63986,-79.37963,M5J 2Y5,M5J 
43.67223,-79.41294,M5R 1P1,M5R 
43.67514,-79.34263,M4J 3C9,M4J 
43.63807,-79.44431,M6K 1J6,M6K 
43.64352,-79.38145,M5J 0A1,M5J 
43.67058,-79.34093,M4K 1C1,M4K 
43.67302,-79.34111,M4J 1B6,M4J 
43.64353,-79.38231,M5J 0A6,M5J 
43.6779,-79.41008000000001,M5R 1K9,M5R 
43.6828,-79.32503,M4J 1G4,M4J 
43.65747,-79.35645,M5A 1M1,M5A 
43.721070000000005,-79.33604,M3C 3Z5,M3C 
43.66491,-79.3355,M4M 1V9,M4M 
43.65435,-79.37952,M5B 1T8,M5B 
43.64651,-79.39433000000001,M5V 1J6,M5V 
43.64465,-79.3898,M5V 3E4,M5V 
43.64587,-79.43386,M6K 2L7,M6K 
43.64354,-79.39046,M5V 3P5,M5V 
43.68509,-79.38388,M4V 2C2,M4V 
43.683890000000005,-79.42578,M6C 1A9,M6C 
43.62641,-79.47662,M8V 4G1,M8V 
43.667229999999996,-79.43208,M6H 3A4,M6H 
43.65607,-79.38815,M5T 2W5,M5T 
43.669509999999995,-79.41674,M6G 2R8,M6G 
43.65352,-79.41543,M6J 2T3,M6J 
43.706759999999996,-79.3819,M4P 1N3,M4P 
43.682629999999996,-79.29767,M4E 3B2,M4E 
43.638000000000005,-79.41735,M6K 3K4,M6K 
43.64441,-79.39311,M5V 3W9,M5V 
43.63903,-79.41518,M6K 3R5,M6K 
43.68142,-79.30519,M4E 2B8,M4E 
43.64374,-79.37916,M5J 0A6,M5J 
43.66577,-79.44676,M6H 3Z5,M6H 
43.665420000000005,-79.42109,M6G 3B3,M6G 
43.684470000000005,-79.4232,M6C 2T3,M6C 
43.634009999999996,-79.41465,M6K 1Y3,M6K 
43.65521,-79.41654,M6G 2Y3,M6G 
43.65803,-79.43175,M6H 1K7,M6H 
43.7723,-79.41779,M2N 1Y7,M2N 
43.6723,-79.44161,M6H 2G1,M6H 
43.668,-79.31430999999999,M4L 3E2,M4L 
43.655429999999996,-79.37106,M5A 2R6,M5A 
43.64248,-79.4053,M6J 1A8,M6J 
43.64156,-79.38024,M5J 2Y5,M5J 
43.65019,-79.44429000000001,M6R 2G5,M6R 
43.68157,-79.30515,M4E 2B8,M4E 
43.68305,-79.43522,M6C 3Y8,M6C 
43.664190000000005,-79.42354,M6G 3L9,M6G 
43.68226,-79.30685,M4E 2B8,M4E 
43.65801,-79.41931,M6G 3J7,M6G 
43.672270000000005,-79.4145,M5R 3G8,M5R 
43.65467,-79.39089,M5T 2W7,M5T 
43.689609999999995,-79.33502,M4J 4J2,M4J 
43.66146,-79.40985,M5S 2R2,M5S 
43.732929999999996,-79.22099,M1M 2Y6,M1M 
43.64367,-79.44319,M6R 1K1,M6R 
43.65724,-79.35642,M5A 1M1,M5A 
43.67153,-79.43930999999999,M6H 3G7,M6H 
43.67347,-79.40323000000001,M5R 1E2,M5R 
43.67635,-79.35515,M4K 1M6,M4K 
43.67329,-79.28268,M4E 1H7,M4E 
43.65728,-79.42626,M6H 1J9,M6H 
43.64143,-79.39638000000001,M5V 4A9,M5V 
43.64866,-79.42446,M6J 3C9,M6J 
43.6489,-79.42545,M6J 3C9,M6J 
43.65425,-79.40399000000001,M5T 1L8,M5T 
43.65408,-79.40216,M5T 1L8,M5T 
43.64546,-79.44156,M6R 1H6,M6R 
43.642109999999995,-79.41044000000001,M5V 3X6,M5V 
43.64631,-79.3944,M5V 1J6,M5V 
43.65623,-79.3986,M5T 2B4,M5T 
43.72247,-79.40353,M4R 1S5,M4R 
43.66514,-79.36964,M4X 1A1,M4X 
43.66483,-79.38388,M4Y 3B2,M4Y 
43.65351,-79.45461,M6R 2S4,M6R 
43.669270000000004,-79.42638000000001,M6G 1X5,M6G 
43.640240000000006,-79.39315,M5V 3Y2,M5V 
43.68857,-79.42486,M6C 2N1,M6C 
43.6715,-79.38517,M4W 1A8,M4W 
43.64815,-79.43502,M6K 2N9,M6K 
43.64051,-79.42426,M6J 3S8,M6J 
43.68023,-79.42381999999999,M6G 2H6,M6G 
43.64781,-79.41748,M6J 1N1,M6J 
43.66636,-79.46791,M6P 1V7,M6P 
43.65733,-79.3701,M5A 2T2,M5A 
43.66818,-79.38866,M4Y 1W4,M4Y 
43.636390000000006,-79.47013000000001,M6S 3J1,M6S 
43.665,-79.42224,M6G 3K3,M6G 
43.64314,-79.43236,M6K 2L4,M6K 
43.66711,-79.46453000000001,M6P 5A1,M6P 
43.68827,-79.39990999999999,M4V 2J9,M4V 
43.67828,-79.3096,M4E 2H9,M4E 
43.68345,-79.29434,M4E 2E1,M4E 
43.65098,-79.45784,M6R 2W8,M6R 
43.69377,-79.43316,M6C 3M3,M6C 
43.67239,-79.28712,M4E 3K2,M4E 
43.67287,-79.28535,M4E 3K2,M4E 
43.69982,-79.2946,M4B 2H3,M4B 
43.778929999999995,-79.32871999999999,M2J 3Z7,M2J 
43.77994,-79.32829,M2J 3Z7,M2J 
43.67474,-79.31066,M4L 3K2,M4L 
43.65979,-79.44148,M6H 1N9,M6H 
43.68287,-79.30538,M4E 2B8,M4E 
43.64115,-79.50690999999999,M8Y 2J7,M8Y 
43.65555,-79.40058,M5T 1L8,M5T 
43.69011,-79.43685,M6C 2P7,M6C 
43.65402,-79.44011,M6H 3W2,M6H 
43.66089,-79.4067,M5S 1H4,M5S 
43.6515,-79.43332,M6H 1B5,M6H 
43.62209,-79.48805,M8V 0B1,M8V 
43.596109999999996,-79.52496,M8V 1M4,M8V 
43.647220000000004,-79.42676999999999,M6J 1S7,M6J 
43.67617,-79.45351,M6E 4P5,M6E 
43.67003,-79.38175,M4W 3Y1,M4W 
43.65739,-79.34895,M4M 2E6,M4M 
43.668209999999995,-79.40689,M5R 1S3,M5R 
43.68112,-79.33913000000001,M4J 1L8,M4J 
43.70343,-79.26016,M1N 2L2,M1N 
43.6369,-79.42002,M6K 3E7,M6K 
43.64996,-79.43733,M6J 1J6,M6J 
43.64508,-79.40616999999999,M5V 2R2,M5V 
43.6457,-79.4496,M6R 1N1,M6R 
43.66806,-79.47378,M6P 1Z8,M6P 
43.806340000000006,-79.17113,M1B 2W5,M1B 
43.79047,-79.27117,M1S 2E1,M1S 
43.6477,-79.39747,M5V 3P7,M5V 
