fsa,postal_code,property_type,room_type,price,source_loaded
M5G ,M5G 1P5,Apartment,Entire home/apt,167.0,airbnb
M5S ,M5S 2R5,Apartment,Private room,80.0,airbnb
M4X ,M4X 1M8,House,Private room,75.0,airbnb
M5B ,M5B 1L3,Condominium,Entire home/apt,190.0,airbnb
M5V ,M5V 3T1,Condominium,Entire home/apt,92.0,airbnb
M4S ,M4S 1E8,Apartment,Entire home/apt,75.0,airbnb
M5A ,M5A 0B1,Apartment,Entire home/apt,139.0,airbnb
M4E ,M4E 1X8,Bungalow,Entire home/apt,340.0,airbnb
M5A ,M5A 4M1,Apartment,Entire home/apt,75.0,airbnb
M4W ,M4W 1A9,Condominium,Entire home/apt,450.0,airbnb
M6R ,M6R 1X3,Loft,Entire home/apt,133.0,airbnb
M6G ,M6G 2T8,Apartment,Entire home/apt,150.0,airbnb
M2J ,M2J 5C5,Apartment,Private room,68.0,airbnb
M4W ,M4W 1T5,House,Entire home/apt,401.0,airbnb
M6P ,M6P 5A2,Condominium,Entire home/apt,114.0,airbnb
M6R ,M6R 2V5,Apartment,Entire home/apt,80.0,airbnb
M6P ,M6P 2A1,Apartment,Entire home/apt,150.0,airbnb
M4Y ,M4Y 3B2,Condominium,Private room,115.0,airbnb
M4J ,M4J 1C4,House,Private room,63.0,airbnb
M4V ,M4V 2T2,House,Private room,161.0,airbnb
M6R ,M6R 2C4,House,Private room,46.0,airbnb
M5V ,M5V 3P7,Apartment,Entire home/apt,141.0,airbnb
M6G ,M6G 3V7,House,Private room,66.0,airbnb
M6H ,M6H 3N5,Apartment,Entire home/apt,46.0,airbnb
M6G ,M6G 1H7,Guest suite,Entire home/apt,88.0,airbnb
M4T ,M4T 1J2,House,Entire home/apt,991.0,airbnb
M4J ,M4J 1P1,House,Private room,84.0,airbnb
M5A ,M5A 2B7,Apartment,Entire home/apt,84.0,airbnb
M4K ,M4K 1L5,House,Entire home/apt,84.0,airbnb
M6H ,M6H 2N9,Apartment,Entire home/apt,90.0,airbnb
M6H ,M6H 1B5,Apartment,Private room,46.0,airbnb
M4M ,M4M 2N2,Apartment,Entire home/apt,108.0,airbnb
M6S ,M6S 1J3,Guest suite,Entire home/apt,70.0,airbnb
